Topic	Irish	English	Phonetic	Sound	Info																																																							
Expressing Opinions	a dhul ag rith.	go running.																																																										
Expressing Opinions	amharc ar an teilifís.	watch television.																																																										
Expressing Opinions	éisteacht le ceol.	listen to music.																																																										
Expressing Opinions	a dhul ag snámh.	go swimming.																																																										
Expressing Opinions	a dhul chuig scannáin.	go to films.																																																										
Expressing Opinions	a dhul chuig drámaí.	go to plays.																																																										
Expressing Opinions	leadóg a imirt.	play tennis.																																																										
Expressing Opinions																																																												
Expressing Opinions		ASKING SOMEONE WHETHER THEY LIKE SOMETHING																																																										
Expressing Opinions																																																												
Expressing Opinions	An maith leat ...?	Do you like... ?																																																										
Expressing Opinions	An maith libh ...?	Do you like... ? (when speaking to more than one person)																																																										
Expressing Opinions		GIVING YOUR REPLY																																																										
Expressing Opinions		When replying to the question An maith leat ...? there's no need to use liom when saying yes or no.																																																										
Expressing Opinions																																																												
Expressing Opinions	CINEÁLACHA CEOIL	Types of music																																																										
Expressing Opinions																																																												
Expressing Opinions	ceol traidisiúnta	traditional music																																																										
Expressing Opinions	ceol clasaiceach	classical music																																																										
Expressing Opinions	snagcheol	jazz																																																										
Expressing Opinions	roc-cheol	rock music																																																										
Expressing Opinions	popcheol	popular music																																																										
Expressing Opinions																																																												
Expressing Opinions	An maith leat ceol clasaiceach?	Do you like classical music?																																																										
Expressing Opinions	Is maith.	Yes.																																																										
Expressing Opinions	Ní maith.	No.																																																										
Expressing Opinions	Is breá liom é.	I really like it.																																																										
Expressing Opinions	Ní maith liom ar chor ar bith é.	I don't like it at all.																																																										
Expressing Opinions	Is fuath liom é.	I hate it.																																																										
Expressing Opinions	Tá sé ceart go leor.	It's all right.																																																										
Expressing Opinions																																																												
Expressing Opinions	An maith leat é?	Do you like it?																																																										
Expressing Opinions																																																												
Expressing Opinions		Having replied to the question An maith leat ...? you may wish to return the same question.																																																										
Expressing Opinions																																																												
Expressing Opinions		You can do this in two ways:																																																										
Expressing Opinions	An maith leatsa é?	Do you like it?																																																										
Expressing Opinions	An maith leat féin é?	Do you like it yourself?																																																										
Expressing Opinions																																																												
Expressing Opinions		SAYING THAT YOU PREFER SOMETHING																																																										
Expressing Opinions																																																												
Expressing Opinions	Is fearr liom ...	I prefer ...																																																										
Expressing Opinions	Is maith liom snagcheoil ach is fearr liom ceol traidisiúnta.	I like jazz but I prefer traditional music.																																																										
Expressing Opinions																																																												
Expressing Opinions	Is maith liomsa fosta é	I like it too/as well																																																										
Expressing Opinions	Is fearr liomsa fosta é	I prefer it too/as well																																																										
Expressing Opinions																																																												
Expressing Opinions	BIA AGUS DEOCH	food and drink																																																										
Expressing Opinions	feoil	meat																																																										
Expressing Opinions	glasraí	vegetables																																																										
Expressing Opinions	bia mara	seafood																																																										
Expressing Opinions	sicín	chicken																																																										
Expressing Opinions	fíon bán	white wine																																																										
Expressing Opinions	fíon dearg	red wine																																																										
Expressing Opinions																																																												
Expressing Opinions	Tá sé maith.	It's good.																																																										
Expressing Opinions	Tá sé an-mhaith.	It's very good.																																																										
Expressing Opinions	Tá sé measartha maith.	It's reasonably good.																																																										
Expressing Opinions	Níl sé rómhaith.	It's not too good.	...roh-why																																																									
Expressing Opinions	Tá sé go dona.	It's very bad.																																																										
Expressing Opinions																																																												
Expressing Opinions		ASKING WHETHER SOMETHING IS ANY GOOD																																																										
Expressing Opinions																																																												
Expressing Opinions	An bhfuil ... maith?	Is ... good?																																																										
Expressing Opinions	An bhfuil an fíon seo maith?	Is this wine good?																																																										
Expressing Opinions	An bhfuil sé seo maith?	Is this good?																																																										
Expressing Opinions	an ceann seo	this one			"as in ""I prefer this one"""																																																							
Expressing Opinions																																																												
Expressing Opinions	An bhfuil maith ar bith sa ...?	Is the ... any good?																																																										
Expressing Opinions	An bhfuil maith ar bith sa bhialann sin?	Is that restaurant any good?	an whil my ar bee sa via-lann sin?		said quick																																																							
Expressing Opinions																																																												
Expressing Opinions	An bhfuil an bia maith?	Is the food any good?																																																										
Expressing Opinions																																																												
Expressing Opinions	bialann	restaurant	bia-lann																																																									
What you want	Cad é ba mhaith leat?	What would you like?																																																										
What you want	Cad é ba mhaith leatsa?	What would *you* like?																																																										
What you want	Cad é ba mhaith libh?	What would you like? (when speaking to more than one person)																																																										
What you want																																																												
What you want		You can use the following when addressing a friend or family member:																																																										
What you want																																																												
What you want	Cad é atá de dhíth ort?	What do you want?																																																										
What you want	Cad é atá de dhíth oraibh?	What do you want? (when speaking to more than one person)																																																										
What you want																																																												
What you want	SAYING WHAT YOU WANT																																																											
What you want	Ba mhaith liom ...	I'd like ...																																																										
What you want	Ba mhaith liom cupa tae.	I'd like a cup of tea.																																																										
What you want																																																												
What you want	Ba mhaith liom ag dul amach	I'd like to go out																																																										
What you want																																																												
What you want	Caife dubh domhsa.	A black coffee for me.																																																										
What you want	Ba mhaith liomsa tae le bainne.	I'd like tea with milk.																																																										
What you want	Rud ar bith eile?	Anything else?	Rud ar bee ella?																																																									
What you want																																																												
What you want	DEOCHANNA	Drinks																																																										
What you want	caife	coffee																																																										
What you want	caife dubh	black coffee																																																										
What you want	caife bán	white coffee																																																										
What you want	tae	tea																																																										
What you want	tae láidir	strong tea																																																										
What you want	tae lag	weak tea																																																										
What you want	sú oráiste	orange juice																																																										
What you want	uisce	water																																																										
What you want	beoir	beer	byor																																																									
What you want	fíon bán	white wine	fee-in baan																																																									
What you want	fíon dearg	red wine																																																										
What you want	uisce beatha	whiskey	ishka beh-ha																																																									
What you want	sceallógaí	chips																																																										
What you want	briosca	a biscuit	briska																																																									
What you want	bágún	bacon	baa-gun																																																									
What you want																																																												
What you want		BEING COURTEOUS																																																										
What you want																																																												
What you want	... le do thoil.	... please.																																																										
What you want	Go raibh maith agat.	Thank you.																																																										
What you want	Maith thú.	good on you/well done																																																										
What you want	Tá fáilte romhat.	You're welcome.																																																										
What you want	Tá fáilte romhaibh.	You're welcome. (when speaking to more than one person)																																																										
What you want																																																												
What you want		ASKING SOMEONE IF THEY TAKE MILK OR SUGAR																																																										
What you want																																																												
What you want	An dtógann tú bainne?	Do you take milk?																																																										
What you want	An dtógann tú siúcra?	Do you take sugar?																																																										
What you want	Tógaim.	I do.																																																										
What you want	Ní thógaim.	I don't.																																																										
What you want																																																												
What you want		BEING MORE PRECISE																																																										
What you want																																																												
What you want	cupa	a cup																																																										
What you want	muga	a mug																																																										
What you want	pota	a pot																																																										
What you want	gloine	a glass	glinnye																																																									
What you want	pionta	a pint	pinta																																																									
What you want	leathphionta	half a pint	le-finta																																																									
What you want	buidéal	a bottle	bawdjel																																																									
What you want																																																												
What you want	pota tae	a pot of tea																																																										
What you want	gloine uisce	a glass of water																																																										
What you want	pionta beorach	a pint of beer																																																										
What you want																																																												
What you want		ASKING SOMEONE IF THEY WANT A PARTICULAR THING																																																										
What you want																																																												
What you want	Ar mhaith leat ...?	Would you like ...?																																																										
What you want	Ar mhaith libh ...?	Would you like ...? (when speaking to more than one person)																																																										
What you want																																																												
What you want	deoch	a drink	dj-o																																																									
What you want	leac oighir	ice	lack eye-er																																																									
What you want	uachtar reoite	ice cream	wechtar rawtcha																																																									
What you want	ceapaire	sandwich																																																										
What you want	milseáin	sweets																																																										
What you want	úll	apple																																																										
What you want																																																												
What you want	cuidiú	help	coodjoo																																																									
What you want																																																												
What you want		GIVING YOUR REPLY																																																										
What you want																																																												
What you want	Ba mhaith.	Yes (I would).																																																										
What you want	Níor mhaith.	No (I wouldn't).																																																										
What you want																																																												
What you want		SAYING YOU WOULD PREFER SOMETHING																																																										
What you want																																																												
What you want	B'fhearr ...	I'd prefer ...	bear...																																																									
What you want	B'fhearr liom gloine uisce.	I'd prefer a glass of water.	Bear liom glinye ish-ke																																																									
What you want																																																												
What you want	Sláinte!	Cheers! (literally, Health!)																																																										
What you want	Sláinte mhór	Cheers (response??)																																																										
What you want																																																												
What you want	TELLING SOMEONE THAT A DRINK IS THEIRS																																																											
What you want	... duitse.	... for you.																																																										
What you want	Pionta beorach duitse.	A pint of beer for you.																																																										
What you want	Seo do ...	Here's your ...																																																										
What you want	Seo do phionta	Here's your pint.																																																										
What you want																																																												
What you want		TRADITIONAL TOASTS (probably not useful)																																																										
What you want																																																												
What you want	Sláinte mhaith agat i bhfad ó bhrón.	Good health, free from sorrow.																																																										
What you want	Sláinte do bheo agus tróicaire do mharbh.	Health to the living and mercy on the dead.																																																										
What you want	Go mba fada a mhairfidh tú.	Long life to you																																																										
Where you are going	Cá bhfuil tú ag dul? (s)	Where are you going?	Ca will to a-gull																																																									
Where you are going	Cá bhfuil sibh ag dul? (p)	Where are you going?	Ca will to a-gull																																																									
Where you are going	Cá bhfuil tusa ag dul?	Where are *you* going?																																																										
Where you are going																																																												
Where you are going		SAYING WHERE YOU ARE GOING																																																										
Where you are going																																																												
Where you are going	Tá mé ag dul ...	I'm going ...	Taw may a gul																																																									
Where you are going	Tá mé ag dul go ...	I'm going to ...																																																										
Where you are going	Tá mé ag dul go Leitir Ceanainn.	I'm going to Letterkenny.																																																										
Where you are going	Tá mé ag dul go dtí an garáiste.	I'm going to the garage.																																																										
Where you are going	Tá muid ag dul go dtí an garáiste.	We're going to the garage.																																																										
Where you are going																																																												
Where you are going	FACILITIES																																																											
Where you are going																																																												
Where you are going	banc	bank																																																										
Where you are going	teach an phobail	church																																																										
Where you are going	oifig an phoist	post office																																																										
Where you are going	caife	cafe	ca-fay																																																									
Where you are going	garáiste	garage																																																										
Where you are going	teach	house																																																										
Where you are going	tithe	houses																																																										
Where you are going	teach tábhairne	pub																																																										
Where you are going	tithe tábhairne	pubs																																																										
Where you are going	bialann	restaurant																																																										
Where you are going	páirc	park																																																										
Where you are going	siopa	shop																																																										
Where you are going	siopaí	shops																																																										
Where you are going	siopa búistéara	butcher's shop																																																										
Where you are going	siopa poitigéara	chemist shop																																																										
Where you are going	siopa bróg	shoe shop																																																										
Where you are going	siopa éadaigh	clothes shop																																																										
Where you are going	ionad spóirt	sports centre																																																										
Where you are going	ionad siopadóireachta	shopping center																																																										
Where you are going	ollmhargadh	supermarket	ollwarragoo																																																									
Where you are going	ospidéal	hospital																																																										
Where you are going	otharlann	hospital																																																										
Where you are going	pictiúrlann	cinema																																																										
Where you are going	sólann	leisure centre																																																										
Where you are going																																																												
Where you are going	codladh	sleep	coh-loo																																																									
Where you are going																																																												
Where you are going	Tá mé ag dul go dtí an t-ionad spóirt.	I'm going to the sports centre.																																																										
Where you are going	Tá mé ag dul go dtí an t-ionad siopadóireachta.	I'm going to the shopping centre.																																																										
Where you are going	Tá mé ag dul go dtí an t-ollmhargadh.	I'm going to the supermarket.																																																										
Where you are going	Tá mé ag dul go dtí an bhialann.	I'm going to the restaurant.																																																										
Where you are going																																																												
Where you are going	Tá mé ag dul abhaile.	I'm going home.																																																										
Where you are going	Tá mé ag dul amach.	I'm going out.																																																										
Where you are going	Tá mé ag dul go hoifig an phoist.	I am going to the post ofice																																																										
Where you are going	Tá mé ag dul go teach an phobail.	I am going to the church																																																										
Where you are going																																																												
Where you are going	tá mé ag dul a chodladh	I am going to sleep	...hoh-loo																																																									
Where you are going	ansin	then			as in I'm going to ... and then I'm going to...																																																							
Where you are going																																																												
Where you are going	Go Baile Átha Cliath	To dublin		????																																																								
Where you are going	Go hArd Mhacha*	To Armagh																																																										
Where you are going	Go Dún Pádraig	To Downpatrick																																																										
Where you are going																																																												
Where you are going		*Go doesn't affect words that begin with a consonant, but if the name begins with a vowel, h is placed before it.																																																										
Where you are going																																																												
Where you are going		Go dtí is used before nouns that are preceded by the article:																																																										
Where you are going	Tá mé ag dul go dtí an t-ospidéal.	I am going to the hospital.																																																										
Where you are going																																																												
Where you are going		The word chuig is used instead of go or go dtí when you're talking about going to an event or to see a person. We'll deal with chuig in more detail in Aonad 11.																																																										
Where you are going																																																												
Where you are going	Cad é an t-am?	What time?																																																										
Where you are going	Cad é an t-am atá tú ag dul go Dún Geanainn?	What time are you going to Dungannon?																																																										
Where you are going	Cá huair?	When?	ca hoo-ar																																																									
Where you are going	Cá huair atá tú ag dul go Corcaigh?	When are you going to Cork?																																																										
Where you are going																																																												
Where you are going		SAYING WHEN YOU'RE GOING SOMEWHERE																																																										
Where you are going																																																												
Where you are going	Tá mé ag dul go Gaillimh...	I'm going to Galway...																																																										
Where you are going	Tá mé ag dul...	I'm going ...																																																										
Where you are going	...ag a dó a chlog	at two o'clock																																																										
Where you are going	...i gceann leathuair an chloig	in half an hour	i gen le-hoor a clig																																																									
Where you are going	...i gceann uair an chloig	in an hour's time																																																										
Where you are going	...i gceann trí huaire go leith	in three-and-a-half hours' time																																																										
Where you are going																																																												
Where you are going	...anois	now																																																										
Where you are going	...níos moille	later	nees mullya																																																									
Where you are going	...i gceann tamaill	in a while																																																										
Where you are going																																																												
Where you are going	...anocht	tonight																																																										
Where you are going	...amárach	tomorrow																																																										
Where you are going																																																												
Where you are going	...ar maidin	in the morning																																																										
Where you are going	...meán lae	midday																																																										
Where you are going	...san iarnóin	in the afternoon																																																										
Where you are going	...tráthnóna	in the evening																																																										
Where you are going	...san oíche	in the night																																																										
Where you are going																																																												
Where you are going		The word uair is irregular when preceded by numbers:																																																										
Where you are going																																																												
Where you are going	uair	an hour																																																										
Where you are going	dhá uair	two hours																																																										
Where you are going	trí ... sé huaire	three ... six hours																																																										
Where you are going	seacht ... deich n-uaire	seven ... ten hours																																																										
Where you are going																																																												
Where you are going		This word occurs quite frequently in everyday speech, so it is well worth learning the different forms.																																																										
Where you are going																																																												
Where you are going		SAYING IT'S ALMOST A CERTAIN TIME																																																										
Where you are going																																																												
Where you are going	Tá sé chóir a bheith ...	It's almost ...	Taw shay hor a veh																																																									
Where you are going	Tá sé chóir a bheith a dó a chlog.	It's almost two o'clock.																																																										
Where you are going	Tá sé chóir a bheith a seacht.	It's almost seven.																																																										
Where you are going	Tá sé chóir a bheith leath i ndiaidh a haon.	It's almost half one.																																																										
Where you are going	Tá sé leath i ndiaidh a haon.	It's half one.																																																										
Where you are going	Tá sé ceathrú go dtí a dó dhéag	it's a quarter to 12																																																										
Where you are going	Tá sé ceathrú i ndiaidh a cúig	it's a quarter past 5	tay shay ca-ru i nyay a quig																																																									
Where you are going																																																												
Where you are going	scrúdú	exam			"as in ""scrúdú ar maidin"" == ""exam in the morning"""																																																							
What job you do	obair	work																																																										
What job you do	post	job	paw-st																																																									
What job you do																																																												
What job you do	Is ... mé.	I'm a ...																																																										
What job you do	... atá ionam	I'm a ...	.. atá unam																																																									
What job you do																																																												
What job you do	Is feirmeoir mé.	I'm a farmer.																																																										
What job you do	Siopadóir atá ionam	I'm a shopkeeper.	.. atá unam																																																									
What job you do																																																												
What job you do		ASKING SOMEONE WHAT JOB THEY DO																																																										
What job you do																																																												
What job you do	Cad é an post atá agat?	What job do you do?																																																										
What job you do	Cad é an tslí bheatha atá agat?	What do you do for a living?	cadj ay an tshlee veha ataa agat																																																									
What job you do	Cad é an post atá ag Michael?	What job does Michael have?																																																										
What job you do																																																												
What job you do	POSTANNA	JOBS																																																										
What job you do																																																												
What job you do	feirmeoir	farmer	fer-mer																																																									
What job you do	Siopadóir	shopkeeper																																																										
What job you do	búistéir	butcher																																																										
What job you do	meicneoir	mechanic																																																										
What job you do	múinteoir	teacher																																																										
What job you do	rúnaí	secretary																																																										
What job you do	oibrí monarchan	factory worker	ibri monarchan																																																									
What job you do	banaltra	nurse																																																										
What job you do	dochtúir	doctor	doctoor																																																									
What job you do	tiománaí	driver	tchumani																																																									
What job you do	bainisteoir	manager																																																										
What job you do	freastalaí	waiter																																																										
What job you do	tógálaí	builder																																																										
What job you do	siúinéir	carpenter	shoonair	aonad 9																																																								
What job you do	bean tí	housewife																																																										
What job you do	leictreoir	electrician																																																										
What job you do	iascaire	fisherman	eesc-ar-a																																																									
What job you do																																																												
What job you do	innealtóir	engineer	inyaltar																																																									
What job you do	innealtóir ríomhaireachta	computer engineer	inyaltar re-whar-achta																																																									
What job you do	devops innealtóir	devops engineer																																																										
What job you do	ríomhchláraitheoir	programmer	reo-clar-e-har																																																									
What job you do																																																												
What job you do		ASKING SOMEONE WHERE THEY WORK																																																										
What job you do																																																												
What job you do	bunscoil	primary school																																																										
What job you do	meánscoil	secondary school																																																										
What job you do																																																												
What job you do	Cá bhfuil tú ag obair?	Where do you work?																																																										
What job you do																																																												
What job you do		SAYING WHERE YOU WORK																																																										
What job you do	Tá mé ag obair...	I work...																																																										
What job you do	Bhí mé ag obair...	I worked...																																																										
What job you do																																																												
What job you do	i monarcha	in a factory																																																										
What job you do	in oifig	in an office																																																										
What job you do	in scoil	in a school																																																										
What job you do	i siopa	in a shop																																																										
What job you do	i mbunscoil	in a primary school																																																										
What job you do	i meánscoil	in a secondary school																																																										
What job you do	in otharlann	in a hopsital																																																										
What job you do	in óstán	in a hotel																																																										
What job you do	i gcaife	in a cafe																																																										
What job you do	i mbialann	in a restaurant																																																										
What job you do	i ngaráiste	in a garage																																																										
What job you do	in ollmhargadh	in a supermarket	ollwarragoo																																																									
What job you do	i dteach tábhairne	in a pub																																																										
What job you do																																																												
What job you do	stáisiún peitril	petrol station	stashon petrol																																																									
What job you do	aisteoir	actor	asteor																																																									
What job you do	tá mé neirbhíseach	i am nervous	taa may nervishoch																																																									
What job you do																																																												
What job you do		SAYING WHAT TYPE OF BUSINESS YOU HAVE																																																										
What job you do																																																												
What job you do	Tá siopa bróg agam.	I have a shoe shop.																																																										
What job you do	Tá siopa leabhar agam.	I have a bookshop.	ta shopa loar agam																																																									
What job you do	Tá bácús agam.	I have a bakery.																																																										
What job you do	Tá teach lóistín agam.	I have a guesthouse.	...lostcheen...																																																									
What job you do																																																												
What job you do		ASKING SOMEONE IF THEY LIKE THEIR JOB																																																										
What job you do																																																												
What job you do	An maith leat ...	Do you like ...																																																										
What job you do	... do phost?	... your job?																																																										
What job you do	... do chuid oibre?	... your work?	do whid ibre???																																																									
What job you do																																																												
What job you do		SAYING YOU ARE NOT WORKING																																																										
What job you do																																																												
What job you do	Níl mé ag obair ...	I'm not working...																																																										
What job you do	Tá mé dífhostaithe...	I'm unemployed...	..djee-ost-aha																																																									
What job you do	... faoi láthair.	... at the moment (literal: present).	..fee laher																																																									
What job you do	Tá mé éirithe as	I'm retired	...airy-a ass																																																									
What job you do																																																												
What job you do		ASKING SOMEONE WHAT JOB THEY HAD																																																										
What job you do	Cad é an post a bhí agat?	What job did you have?																																																										
What job you do																																																												
What job you do		SAYING WHAT JOB YOU HAD																																																										
What job you do	Ba ... mé.																																																											
What job you do		or																																																										
What job you do	... a bhí ionam	I was a ...																																																										
What job you do	Ba mhúinteoir mé.	I was a teacher.																																																										
What job you do	Rúnaí a bhí ionam.	I was a secretary.																																																										
What job you do																																																												
What job you do	Ba mheicneoir mé.																																																											
What job you do	B'oibrí monarchan mé.																																																											
What job you do	B'fheirmeoir mé.																																																											
What job you do																																																												
What job you do	An dochtúir tú?	Are you a doctor?																																																										
What job you do	An rúnaí tú?	Are you a secretary?																																																										
What job you do																																																												
What job you do		You can answer this question in the following ways:																																																										
What job you do																																																												
What job you do	Is ea.	Yes (I am).	sha?? or ish-aa??																																																									
What job you do	Ní hea.	No (I'm not).	nee ha																																																									
Giving Orders		TELLING SOMEONE TO COME IN																																																										
Giving Orders	Tar isteach.	Come in.																																																										
Giving Orders	Tagaigí isteach.	Come in.(plural)																																																										
Giving Orders	Taraigí isteach.	Come in.(plural)																																																										
Giving Orders																																																												
Giving Orders		TELLING SOMEONE TO SIT DOWN																																																										
Giving Orders																																																												
Giving Orders	Suigh síos.	Sit down.	see shees																																																									
Giving Orders	Suígí síos.	Sit down.(plural)	see-gee shees																																																									
Giving Orders		WARNING SOMEONE																																																										
Giving Orders	Coimhéad!	Look out! or Be careful!	cuv-ahd																																																									
Giving Orders	Coimhéadaigí!	Look out! or Be careful!(plural)	cuv-ahd-igi																																																									
Giving Orders																																																												
Giving Orders	Coimhéad an leoraí	mind the lorry																																																										
Giving Orders	Coimhéad an phéint!	Mind the paint!	cuv-ahd an faint																																																									
Giving Orders																																																												
Giving Orders	Fan bomaite.	Wait a minute.																																																										
Giving Orders	Fanaigí bomaite.	(plural)																																																										
Giving Orders																																																												
Giving Orders	TELLING SOMEONE TO STOP																																																											
Giving Orders																																																												
Giving Orders	Stad!	Stop!																																																										
Giving Orders	Stadaigí!	(plural)																																																										
Giving Orders																																																												
Giving Orders	Ná déan sin.	Don't do that.	na jen sin																																																									
Giving Orders	Ná déanaigí sin.	(plural)	na jenigi sin																																																									
Giving Orders																																																												
Giving Orders	Ná déan seo.	Don't do this.	na jen shaw																																																									
Giving Orders																																																												
Giving Orders	TELLING SOMEONE TO BE QUIET																																																											
Giving Orders																																																												
Giving Orders	Ciúnas!	Quiet!/Silence	cuoonyis																																																									
Giving Orders	Ciúnigí!	Quiet!/Silence	cuoonigee																																																									
Giving Orders	Bí ciúin!	Be quiet!	be cue-in																																																									
Giving Orders	Bígí ciúin!	(plural)	bigee cue-in																																																									
Giving Orders																																																												
Giving Orders	Bí suaimhneach!	Be quiet!	be swinna																																																									
Giving Orders	Bígí suaimhneach!	(plural)	bigee swinna																																																									
Giving Orders																																																												
Giving Orders	Fan socair!	Stay quiet!																																																										
Giving Orders	Fanaigí socair!	(plural)																																																										
Giving Orders																																																												
Giving Orders	TELLING SOMEONE TO GO OR TO CARRY ON																																																											
Giving Orders																																																												
Giving Orders	Gabh amach!	Get out!	go amak (throaty k)																																																									
Giving Orders	Gabhaigí amach!	(plural)	gogi amak (throaty k)																																																									
Giving Orders																																																												
Giving Orders	Imigh leat!	Away you go (in nice way).  Go away! (in strong voice)	immee lat																																																									
Giving Orders	Imigí libh!	(plural)																																																										
Giving Orders																																																												
Giving Orders	Lean ort.	Carry on.	lan ort																																																									
Giving Orders	Leanaigí oraibh.	(plural)	lanigi oriv																																																									
Giving Orders																																																												
Giving Orders		CALLING SOMEONE																																																										
Giving Orders																																																												
Giving Orders	Tar anseo.	Come here.																																																										
Giving Orders	Tagaigí anseo.	(plural)																																																										
Giving Orders	Taraigí anseo.	Come here.	(plural)																																																									
Giving Orders																																																												
Giving Orders	Goitse.	Come here.	gutcha																																																									
Giving Orders	Goitsigí	Come here.(plural)	gutchigi																																																									
Giving Orders																																																												
Giving Orders		Goitse can also be used when you are leaving and when you want someone to come with you.																																																										
Giving Orders	Goitse.	Come on.	gutcha																																																									
Giving Orders		AROUND THE HOUSE																																																										
Giving Orders	Druid an doras.	Shut the door.																																																										
Giving Orders	Druidigí an doras.	(plural)																																																										
Giving Orders																																																												
Giving Orders	Oscail an fhuinneog.	Open the window.																																																										
Giving Orders	Osclaígí an fhuinneog.	(plural)																																																										
Giving Orders																																																												
Giving Orders		In Donegal an f is placed before oscail in everyday speech but it is generally not written.																																																										
Giving Orders																																																												
Giving Orders	Gabh a luí.	Go to bed.	go a lee																																																									
Giving Orders	Gabhaigí a luí.	(plural)	go-gee a lee																																																									
Giving Orders																																																												
Giving Orders	Gabh a chodladh.	Go to sleep.	go a haw-loo???																																																									
Giving Orders																																																												
Giving Orders	Éirigh!	Get up!	ear-ee																																																									
Giving Orders	Éirígí!	(plural)	ear-igi																																																									
Giving Orders																																																												
Giving Orders	Déan deifir!	Hurry up!	Jen jeffer or Jen jeffra																																																									
Giving Orders	Déanaigí deifir!	(plural)	Jenigy jeffer or Jenigy jeffra																																																									
Giving Orders																																																												
Giving Orders	ní thig liom	i can't	nee hig liom																																																									
Giving Orders	Tá deifir orm	I am in a hurry																																																										
Giving Orders	tá sibh mall (p)	you're late																																																										
Giving Orders	bean éigin	some woman	ban ay-gan																																																									
Family_	fear	man	faar																																																									
Family_	an fhear	the man	an aar		???																																																							
Family_	fir	men																																																										
Family_	bean	woman	ban																																																									
Family_	an bhean	the woman	an van		Feminine noun needs lenited																																																							
Family_	mná	women	mnaw?																																																									
Family_	teaghlach	family (as a whole including parents)	chay-la																																																									
Family_	an teaghlach	the family (as a whole including parents)	an chay-la																																																									
Family_	Tá mé pósta.	I'm married.	taa meh pawsta																																																									
Family_	Níl mé pósta.	I'm not married.	nil meh pawsta																																																									
Family_	Tá mé singil.	I'm single.																																																										
Family_	Tá mé geallta.	I'm engaged.	...galta																																																									
Family_	Tá mé scartha...	I'm separated...	taa meh scarha																																																									
Family_	... ó mo bhean (chéile).	... from my wife.	o mo van hayla																																																									
Family_	... ó m'fhear (céile).	... from my husband.	o mar kayla																																																									
Family_	Is baintreach mé.	I'm a widow/widower.	is bantrack (thoaty ck) meh																																																									
Family_																																																												
Family_		ASKING SOMEONE WHAT THEIR MARITAL STATUS IS																																																										
Family_																																																												
Family_	An bhfuil tú pósta?	Are you married?																																																										
Family_	An bhfuil tusa pósta?	Are *you* married?																																																										
Family_	An bhfuil tu féin pósta?	Are you married yourself?																																																										
Family_																																																												
Family_	Tá.	Yes.																																																										
Family_	Níl.	No.																																																										
Family_	Níl go fóill.	Not yet.																																																										
Family_																																																												
Family_		ASKING SOMEONE IF THEY HAVE CHILDREN																																																										
Family_																																																												
Family_	páiste	child	peh-steh																																																									
Family_	páistí	children	peh-stee																																																									
Family_																																																												
Family_	An bhfuil clann agat?	Have you children?																																																										
Family_	An bhfuil clann agaibh?	(plural)																																																										
Family_	An bhfuil clann agat féin?	Have you children yourself?																																																										
Family_	An bhfuil páistí agat?																																																											
Family_	An bhfuil páistí agaibh?																																																											
Family_																																																												
Family_	SAYING THAT YOU HAVE OR HAVEN'T CHILDREN																																																											
Family_																																																												
Family_	Tá.	Yes.																																																										
Family_	Níl.	No.																																																										
Family_																																																												
Family_	Tá clann agam.	I have children.																																																										
Family_	Tá clann againn.	We have children.																																																										
Family_	mac	a son																																																										
Family_	iníon	a daughter																																																										
Family_	Tá mac agam.	I have a son.																																																										
Family_	Tá iníon agam.	I have a daughter.																																																										
Family_	Níl clann ar bith agam.	I have no children at all.																																																										
Family_	Níl clann ar bith againn.	We have no children at all.																																																										
Family_	Níl páistí ar bith agam.	I have no children at all.																																																										
Family_	Níl páistí ar bith againn.	We have no children at all.																																																										
Family_	Tá mé ag súil le páiste.	I'm expecting a child.																																																										
Family_	Tá mé ag súil le leanbh.	I'm expecting a baby.	..ag sool le lanoo																																																									
Family_	Tá mé torrach.	I'm pregnant.																																																										
Family_																																																												
Family_	ticéad (thieéad)	ticket	ticid(hicid)																																																									
Family_	cailín	girl	cal-een																																																									
Family_	cailíní	girls	cal-eeny																																																									
Family_	girseach	girl																																																										
Family_	girseachaí	girls																																																										
Family_	buachaill	boy	bohill or byu-kal (throaty k)																																																									
Family_	buachaillí	boys	bohilly or byu-kali (throaty k)																																																									
Family_	gasúr	boy																																																										
Family_	gasúraí	boys																																																										
Family_																																																												
Family_		ASKING SOMEONE HOW MEMBERS OF THEIR FAMILY ARE																																																										
Family_																																																												
Family_	Cad é mar atá do chlann?	How are your children? (when speaking to one person)																																																										
Family_		or																																																										
Family_	Cad é mar atá do chuid páistí?	How are your children?																																																										
Family_																																																												
Family_		This is how you return the question:																																																										
Family_	Cad é mar atá do chlannsa?	How are *your* children?																																																										
Family_		or																																																										
Family_	Cad é mar atá do chuid *páistíse*?	How are *your* children?																																																										
Family_																																																												
Family_	Tá siad go maith	They are good.																																																										
Family_	mo	my																																																										
Family_	do	your																																																										
Family_	a	his																																																										
Family_	a	her																																																										
Family_	ár	our																																																										
Family_	bhur	your																																																										
Family_	a	their																																																										
Family_	mo mhac	my son																																																										
Family_	do mhac	your son																																																										
Family_	m'iníon	my daughter																																																										
Family_	a iníon																																																											
Family_	bhur n-iníon																																																											
Family_	do mháthair	your mother																																																										
Family_	d'athair	you father																																																										
Family_	a hathair	her father																																																										
Family_	ár n-athair	our father																																																										
Family_	a n-athair	their father																																																										
Family_	a bhean	his woman?																																																										
Family_	a fear	her man																																																										
